currency,year,exchange_rate_to_one_sgd
SSP,2023,96.91043016390802
MRU,2023,26.865401810756595
PAB,2023,0.7443347732421959
GEL,2023,1.9437791814601908
GIP,2023,0.5998836914000322
STD,2023,16848.40606541311
RWF,2023,849.8889540288706
XAF,2023,451.4452416946187
RON,2023,3.4040688980325515
BZD,2023,1.4990780857918031
CUP,2023,19.15766093070717
PLN,2010,2.21270232798124
CAD,2010,0.7564087338231641
BSD,2010,0.7309504075930006
CRC,2010,375.6824212219939
KHR,2010,3023.82071909827
MGA,2010,1517.6355430420758
PKR,2010,62.139650123923865
UAH,2010,5.764093483359262
BGN,2011,1.1136347384139604
CAD,2011,0.7868568950696513
AFN,2011,33.70664139425101
BHD,2011,0.2974401340415323
DOP,2011,29.72482846169044
JOD,2011,0.5585799745772506
PYG,2011,3259.057816968132
TWD,2011,22.82459720711273
UAH,2011,6.27735854273377
VND,2011,16209.84334380539
EUR,2012,0.6230135263016935
IQD,2012,912.4343540200849
IRR,2012,9589.667787062828
KHR,2012,3174.9568920339207
OMR,2012,0.30687308841788863
JPY,2013,78.04030293253102
SEK,2013,5.207559965848614
CNY,2013,4.90480105657513
MYR,2013,2.507827123310586
BYR,2013,7075.251686923452
COP,2013,1463.121083282806
CRC,2013,392.0106466268605
KZT,2013,119.86393076469153
MWK,2013,287.61528009658366
SOS,2013,1098.6402404669088
TTD,2013,5.032883625719717
VEF,2013,4.841851739102299
HRK,2014,4.53659595449721
KRW,2014,829.9427133426952
PHP,2014,34.95517397329773
ZAR,2014,8.555543998306545
BSD,2014,0.7857187961325796
EGP,2014,5.5751373769050545
HNL,2014,15.873663933035237
MDL,2014,10.879065516286136
SAR,2014,2.957659788523711
XCD,2014,5.971276733261042
CVE,2015,72.34246739241128
ISK,2015,95.79846876158382
KYD,2015,0.5936876079420371
PKR,2015,74.2572642841744
UYU,2015,19.433395310731317
UZS,2015,1843.5795583025097
XAF,2015,430.3591156692211
ISK,2016,87.38565938625054
UZS,2016,2120.9277395079225
XCD,2016,1.9327238552612462
HRK,2017,4.788294975306116
AFN,2017,48.58008248319272
HTG,2017,46.44278377962986
KYD,2017,0.5906151981117883
LSL,2017,9.493234250404004
MDL,2017,13.173680613312845
MUR,2017,24.039140140807888
RWF,2017,599.0968868421356
BYN,2017,1.4907677998823554
ARS,2018,20.710144822184432
BOB,2018,5.001109514465255
CUP,2018,0.7228763942104487
GHS,2018,3.4507907939154174
SLL,2018,5754.285482903637
JPY,2019,79.93333313972867
CZK,2019,16.801585696687916
IQD,2019,855.9635585120059
LYD,2019,1.0057143214449813
PGK,2019,2.435842119854689
ISK,2020,97.84727516184914
MMK,2020,993.1432312358851
NPR,2020,85.5722777547304
PKR,2020,117.22405018714093
UAH,2020,19.501174522194027
AMD,2020,351.96062788435165
AWG,2020,1.3127268400544976
GGP,2020,0.5653894319064371
LRD,2020,138.09794915523273
AZN,2021,1.2657788842303235
BIF,2021,1469.1677008015295
BZD,2021,1.4999567007350803
DZD,2021,100.44418868090283
IRR,2021,31369.25170666935
KHR,2021,3026.74555490722
MZN,2021,48.76427782503681
PEN,2021,2.887186202158651
VEF,2021,187982.8854318765
XPT,2021,0.000799205873044788
BAM,2022,1.3483008753285417
CNH,2022,4.885616279373246
DKK,2022,5.128881684654205
GGP,2022,0.5884239921813925
INR,2022,56.989894736093085
MUR,2022,32.08459366953109
PHP,2022,39.50851348931951
PLN,2022,3.2307416136616403
RWF,2022,751.1900465641569
SZL,2022,11.861292575041551
XCD,2022,1.9605200462230394
XPT,2022,0.0010630870772954575
RUB,2023,62.88528467500316
KMF,2023,339.2568473335261
BTC,2023,2.828526035116916e-05
SCR,2023,10.008501055867635
ZAR,2023,13.702446145916335
TWD,2023,23.136945631582705
BSD,2023,0.7443237907425367
MWK,2023,783.3608867137418
CNH,2023,5.262553734930018
LAK,2023,13654.118690690233
AWG,2023,1.3403441162632175
EUR,2023,0.6885367701155394
ANG,2023,1.3405572424344612
TMT,2023,2.6075428914046865
TND,2023,2.3084359709634557
BOB,2023,5.139265607254375
BGN,2010,1.0803956094130254
BND,2010,0.9867366984088685
JMD,2010,62.794059442084915
LAK,2010,5925.929945680322
SOS,2010,1127.9661649674836
SVC,2010,6.295064862895369
UYU,2010,14.382723808036918
VND,2010,13848.142136844432
XPF,2010,64.86246511854917
CZK,2011,14.049157858824833
BOB,2011,5.457538733563451
GMD,2011,22.00927223465534
KES,2011,69.44486809830522
KZT,2011,115.02891151209346
XCD,2011,2.2188984847372706
RUB,2012,24.820693999720717
ANG,2012,1.4063028630933019
CLP,2012,380.84371578149245
COP,2012,1409.2447394170981
GHS,2012,1.4660368247244027
KYD,2012,0.6465230541298487
MVR,2012,12.156275162976529
XAF,2012,402.56398134763083
ILS,2013,2.8850939194765393
AED,2013,2.9318096803658404
EGP,2013,5.472384607122438
CNY,2014,4.8583641507384
IDR,2014,9150.049807584865
BOB,2014,5.33900755178309
CRC,2014,415.73532771228963
ISK,2014,91.85703224907557
MKD,2014,36.334240225022434
MOP,2014,6.190613549950674
PEN,2014,2.193717273530613
RSD,2014,69.66201013824218
SOS,2014,681.5908723241217
GBP,2015,0.47631118437617825
AUD,2015,0.968441064163006
PHP,2015,33.02555617519434
SAR,2015,2.7283668441766507
SVC,2015,6.214023763437361
GBP,2016,0.5361380980974795
HUF,2016,203.78737966359427
LYD,2016,0.9868960626288676
MUR,2016,24.795499951342485
PKR,2016,75.21774150864209
QAR,2016,2.6309575312823927
SDG,2016,4.431641463170232
SOS,2016,404.76793626420596
TTD,2016,4.711529457411677
ZWL,2016,239.38340004635737
LRD,2016,65.31273259908318
SLL,2016,4113.122213771695
GHS,2017,3.171129976903725
PAB,2017,0.7080903118587643
